Version,Timestamp,Level,Thread,Entry,Command
0.0.1-dev,2026-02-14T19:09:57.024007Z,INFO,DefaultDispatcher-worker-14(42),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,==============================================
0.0.1-dev,2026-02-14T19:09:57.024623Z,INFO,DefaultDispatcher-worker-14(42),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,Demo:   http://localhost:8000/demo
0.0.1-dev,2026-02-14T19:09:57.024681Z,INFO,DefaultDispatcher-worker-14(42),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,API:    http://localhost:8000/api/v1
0.0.1-dev,2026-02-14T19:09:57.024738Z,INFO,DefaultDispatcher-worker-14(42),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,Health: http://localhost:8000/health
0.0.1-dev,2026-02-14T19:09:57.024797Z,INFO,DefaultDispatcher-worker-14(42),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,==============================================
0.0.1-dev,2026-02-14T19:09:57.024419Z,INFO,DefaultDispatcher-worker-14(42),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,SoulLogger Sample Application Started
0.0.1-dev,2026-02-14T19:09:57.024490Z,INFO,DefaultDispatcher-worker-14(42),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,==============================================
0.0.1-dev,2026-02-14T19:09:57.024552Z,INFO,DefaultDispatcher-worker-14(42),com.lestere.opensource.soullogger.sample.ApplicationKt$main$server$1$4,Web UI: http://localhost:8000/webui/
0.0.1-dev,2026-02-14T19:10:09.376541Z,INFO,eventLoopGroupProxy-4-1(52),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$2,Call localhost --> /soul/logger/health/live
0.0.1-dev,2026-02-14T19:10:09.398706Z,WARN,eventLoopGroupProxy-4-1(52),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$3,Response localhost --> /soul/logger/health/live (Unknown status && 62 bytes)
0.0.1-dev,2026-02-14T19:10:13.712489Z,INFO,eventLoopGroupProxy-4-2(54),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$2,Call localhost --> /soul/logger/config
0.0.1-dev,2026-02-14T19:10:13.715428Z,WARN,eventLoopGroupProxy-4-2(54),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$3,Response localhost --> /soul/logger/config (Unknown status && 62 bytes)
0.0.1-dev,2026-02-14T19:10:33.163343Z,INFO,eventLoopGroupProxy-4-3(56),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$2,Call localhost --> /soul/logger/level/global
0.0.1-dev,2026-02-14T19:10:33.180197Z,WARN,eventLoopGroupProxy-4-3(56),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$3,Response localhost --> /soul/logger/level/global (Unknown status && 55 bytes)
0.0.1-dev,2026-02-14T19:10:33.196434Z,INFO,eventLoopGroupProxy-4-4(58),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$2,Call localhost --> /soul/logger/level/global
0.0.1-dev,2026-02-14T19:10:33.233667Z,INFO,eventLoopGroupProxy-4-4(58),com.lestere.opensource.config.RuntimeLevelManager,Global log level set to: WARN
0.0.1-dev,2026-02-14T19:10:33.236881Z,WARN,eventLoopGroupProxy-4-4(58),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$3,Response localhost --> /soul/logger/level/global (Unknown status && 62 bytes)
0.0.1-dev,2026-02-14T19:10:33.251445Z,INFO,eventLoopGroupProxy-4-5(64),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$2,Call localhost --> /soul/logger/level/global
0.0.1-dev,2026-02-14T19:10:33.252011Z,WARN,eventLoopGroupProxy-4-5(64),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$3,Response localhost --> /soul/logger/level/global (Unknown status && 55 bytes)
0.0.1-dev,2026-02-14T19:10:37.971521Z,INFO,eventLoopGroupProxy-4-6(66),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$2,Call localhost --> /health
0.0.1-dev,2026-02-14T19:10:38.011905Z,WARN,eventLoopGroupProxy-4-6(66),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$3,Response localhost --> /health (Unknown status && 62 bytes)
0.0.1-dev,2026-02-14T19:10:38.025289Z,INFO,eventLoopGroupProxy-4-7(67),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$2,Call localhost --> /demo
0.0.1-dev,2026-02-14T19:10:38.029239Z,WARN,eventLoopGroupProxy-4-7(67),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$3,Response localhost --> /demo (Unknown status && 62 bytes)
0.0.1-dev,2026-02-14T19:10:38.042877Z,INFO,eventLoopGroupProxy-4-8(68),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$2,Call localhost --> /demo/metrics
0.0.1-dev,2026-02-14T19:10:38.046875Z,WARN,eventLoopGroupProxy-4-8(68),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$3,Response localhost --> /demo/metrics (Unknown status && 62 bytes)
0.0.1-dev,2026-02-14T19:10:38.057408Z,INFO,eventLoopGroupProxy-4-9(69),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$2,Call localhost --> /demo/health
0.0.1-dev,2026-02-14T19:10:38.059977Z,WARN,eventLoopGroupProxy-4-9(69),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$3,Response localhost --> /demo/health (Unknown status && 62 bytes)
0.0.1-dev,2026-02-14T19:10:43.427656Z,DEBUG,eventLoopGroupProxy-4-10(70),com.lestere.opensource.soullogger.sample.WebUIKt$configureWebUI$2$3$1,API: /api/v1/health called
0.0.1-dev,2026-02-14T19:10:43.421678Z,INFO,eventLoopGroupProxy-4-10(70),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$2,Call localhost --> /api/v1/health
0.0.1-dev,2026-02-14T19:10:43.440337Z,WARN,eventLoopGroupProxy-4-10(70),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$3,Response localhost --> /api/v1/health (Unknown status && 62 bytes)
0.0.1-dev,2026-02-14T19:10:43.456887Z,INFO,eventLoopGroupProxy-4-1(52),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$2,Call localhost --> /api/v1/stats
0.0.1-dev,2026-02-14T19:10:43.457229Z,DEBUG,eventLoopGroupProxy-4-1(52),com.lestere.opensource.soullogger.sample.WebUIKt$configureWebUI$2$3$2,API: /api/v1/stats called
0.0.1-dev,2026-02-14T19:10:43.463233Z,WARN,eventLoopGroupProxy-4-1(52),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$3,Response localhost --> /api/v1/stats (Unknown status && 62 bytes)
0.0.1-dev,2026-02-14T19:10:43.474974Z,INFO,eventLoopGroupProxy-4-2(54),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$2,Call localhost --> /api/v1/config
0.0.1-dev,2026-02-14T19:10:43.475295Z,DEBUG,eventLoopGroupProxy-4-2(54),com.lestere.opensource.soullogger.sample.WebUIKt$configureWebUI$2$3$6,API: /api/v1/config called
0.0.1-dev,2026-02-14T19:10:43.478081Z,WARN,eventLoopGroupProxy-4-2(54),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$3,Response localhost --> /api/v1/config (Unknown status && 62 bytes)
0.0.1-dev,2026-02-14T19:10:43.488635Z,INFO,eventLoopGroupProxy-4-3(56),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$2,Call localhost --> /api/v1/stats/level-distribution
0.0.1-dev,2026-02-14T19:10:43.488932Z,DEBUG,eventLoopGroupProxy-4-3(56),com.lestere.opensource.soullogger.sample.WebUIKt$configureWebUI$2$3$3,API: /api/v1/stats/level-distribution called
0.0.1-dev,2026-02-14T19:10:43.490969Z,WARN,eventLoopGroupProxy-4-3(56),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$3,Response localhost --> /api/v1/stats/level-distribution (Unknown status && 62 bytes)
0.0.1-dev,2026-02-14T19:10:48.613326Z,INFO,eventLoopGroupProxy-4-4(58),com.lestere.opensource.logger.SoulLoggerPluginKt$SoulLoggerPlugin$2$2,Call localhost --> /soul/logger/config/level
0.0.1-dev,2026-02-14T19:11:07.958363Z,ERROR,eventLoopGroupProxy-4-7(67),com.lestere.opensource.soullogger.sample.DemoRoutesKt$configureDemoRoutes$1$1$15,java.lang.IllegalStateException: Load test error 3
0.0.1-dev,2026-02-14T19:11:08.003133Z,ERROR,eventLoopGroupProxy-4-10(70),com.lestere.opensource.soullogger.sample.DemoRoutesKt$configureDemoRoutes$1$1$11,java.lang.IllegalStateException: Demo error for testing
